ID,Species,Weight,Length,Height,Width
1,Roach,27,19,6.4752,3.3516
2,Perch,5.9,7.5,2.112,1.408
3,Smelt,6.7,9.3,1.7388,1.0476
4,Smelt,7,10.1,1.7284,1.1484
5,Smelt,7.5,10,1.972,1.16
6,Smelt,8.7,10.8,1.9782,1.2852
7,Smelt,9.7,10.4,2.196,1.38
8,Smelt,9.8,10.7,2.0832,1.2772
9,Smelt,9.8,11.4,2.2044,1.1484
10,Smelt,9.9,11.3,2.2139,1.1659
11,Smelt,10,11.3,2.2139,1.2838
12,Smelt,12.2,11.5,2.0904,1.3936
13,Smelt,12.2,12.1,2.277,1.2558
14,Smelt,13.4,11.7,2.43,1.269
15,Smelt,19.7,13.2,2.8728,2.0672
16,Smelt,19.9,13.8,2.9322,1.8792
17,Perch,32,12.5,3.528,1.9992
18,Roach,40,12.9,4.1472,2.268
19,Perch,40,13.8,3.824,2.432
20,Perch,51.5,15,4.5924,2.6316
21,Parkki,55,13.5,6.8475,2.3265
22,Parkki,60,14.3,6.5772,2.3142
23,Roach,69,16.5,5.2983,2.8217
24,Perch,70,15.7,4.588,2.9415
25,Roach,78,17.5,5.5756,2.9044
26,Perch,78,16.8,5.1992,3.1234
27,Perch,80,17.2,5.6358,3.0502
28,Perch,85,17.8,5.1376,3.0368
29,Perch,85,18.2,5.082,2.772
30,Roach,87,18.2,5.6166,3.1746
31,Parkki,90,16.3,7.4052,2.673
32,Perch,100,16.2,5.2224,3.3216
33,Roach,110,19.1,6.1677,3.3957
34,Perch,110,19,5.6925,3.555
35,Perch,110,20,5.5225,3.995
36,Perch,115,19,5.9175,3.3075
37,Roach,120,18.6,6.216,3.5742
38,Roach,120,19.4,6.1146,3.2943
39,Parkki,120,17.5,8.3922,2.9181
40,Perch,120,20,6.11,3.4075
41,Perch,120,20,5.64,3.525
42,Perch,125,19,5.6925,3.6675
43,Perch,130,19.3,6.384,3.534
44,Perch,130,20,6.11,3.525
45,Perch,130,20.5,5.856,3.624
46,Perch,135,20,5.875,3.525
47,Roach,140,21,6.55,3.325
48,Parkki,140,19,8.5376,3.2944
49,Roach,145,20.5,6.6339,3.5478
50,Parkki,145,19.8,9.7364,3.1571
51,Perch,145,20.7,5.9532,3.63
